strategy,algorithm,query_row_index,query_book_id,query_title,query_course_id,predicted_classes,top_result_row_index,top_result_book_id,top_result_course_id,precision@1,recall@1,f1@1,hit@1,precision@3,recall@3,f1@3,hit@3,precision@5,recall@5,f1@5,hit@5,mrr
hybrid_top2,ann,579,580,คู่มือปฏิบัติตามกระบวนการมาตรฐานวิศวกรรมซอฟต์แวร์ ISO/IEC 29110,19,19:0.589602|13:0.272833,199,200,19,1.0,0.07142857142857142,0.13333333333333333,1.0,1.0,0.21428571428571427,0.35294117647058826,1.0,1.0,0.35714285714285715,0.5263157894736842,1.0,1.0
hybrid_top2,ann,65,66,เขียนโปรแกรมเชิงวัตถุภาษา Java ฉบับสมบูรณ์,7,7:1.000000|1:0.000000,60,61,7,1.0,0.01639344262295082,0.03225806451612903,1.0,1.0,0.04918032786885246,0.09375,1.0,1.0,0.08196721311475409,0.1515151515151515,1.0,1.0
hybrid_top2,ann,297,298,The new iPad ฉบับสมบูรณ์,4,4:0.999850|8:0.000117,298,299,4,1.0,0.010526315789473684,0.020833333333333332,1.0,0.6666666666666666,0.021052631578947368,0.04081632653061225,1.0,0.8,0.042105263157894736,0.07999999999999999,1.0,1.0
hybrid_top2,ann,426,427,การวิเคราะห์สถิติหลายตัวแปรสำหรับงานวิจัย,23,23:0.999933|17:0.000040,425,426,23,1.0,0.02857142857142857,0.05555555555555556,1.0,1.0,0.08571428571428572,0.15789473684210528,1.0,1.0,0.14285714285714285,0.25,1.0,1.0
hybrid_top2,ann,735,736,การประมวลสัญญาณเชิงเลขเบื้องต้น Basic Digital Signal Processing,5,11:0.987026|22:0.009902,736,737,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_top2,ann,283,284,การเขียนชุดคำสั่งภาษา C,1,1:0.999977|13:0.000020,546,547,1,1.0,0.009900990099009901,0.0196078431372549,1.0,1.0,0.0297029702970297,0.05769230769230769,1.0,1.0,0.04950495049504951,0.09433962264150944,1.0,1.0
hybrid_top2,ann,495,496,การประยุกต์ใช้ระบบไคลเอ็นต์เซิร์ฟเวอร์,11,11:0.729849|8:0.146690,688,689,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.02857142857142857,0.049999999999999996,1.0,0.2
hybrid_top2,ann,204,205,เรียนรู้ AI : Deep Learning ด้วย Python,20,20:0.937321|16:0.058422,205,206,20,1.0,0.125,0.2222222222222222,1.0,1.0,0.375,0.5454545454545454,1.0,0.6,0.375,0.4615384615384615,1.0,1.0
hybrid_top2,ann,31,32,พื้นฐานการออกแบบ วงจรอิเล็กทรอนิกส์,3,3:0.896742|5:0.098761,30,31,3,1.0,0.07692307692307693,0.14285714285714288,1.0,1.0,0.23076923076923078,0.375,1.0,0.8,0.3076923076923077,0.4444444444444444,1.0,1.0
hybrid_top2,ann,47,48,เทคนิคทำโคออร์ดิเนตคณิตท เรื่อง : ตรรกศาสตร์,6,6:0.798066|1:0.107080,383,384,6,1.0,0.02631578947368421,0.05128205128205127,1.0,1.0,0.07894736842105263,0.14634146341463414,1.0,1.0,0.13157894736842105,0.23255813953488372,1.0,1.0
